State,hs_total,hs_total_error,hs_white,hs_white_error,hs_black,hs_black_error,hs_hisp,hs_hisp_error,hs_asia,hs_asia_error,hs_2ormore,hs_2ormore_error,col_total,col_total_error,col_white,col_white_error,col_black,col_black_error,col_hisp,col_hisp_error,col_asia,col_asia_error,col_2ormore,col_2ormore_error
   United States ,88.6,(0.04),93.3,(0.03),87.3,(0.10),70.5,(0.15),87.9,(0.12),91.9,(0.18),33.2,(0.07),36.9,(0.07),22.7,(0.12),17.6,(0.13),55.9,(0.21),36.3,(0.34)
Alabama ,86.9,(0.25),88.9,(0.30),84.6,(0.53),62.5,(2.28),87.2,(1.85),88.3,(2.24),26.3,(0.40),28.4,(0.41),19.9,(0.78),16.9,(1.69),55.9,(3.73),32.4,(4.10)
Alaska ,94.0,(0.46),96.3,(0.54),97.7,(1.77),90.2,(1.91),93.7,(2.26),94.8,(2.06),31.1,(1.22),37.4,(1.58),21.8,(7.06),28.8,(5.13),30.3,(4.45),30.0,(5.06)
Arizona ,87.7,(0.23),94.6,(0.18),91.4,(0.92),71.3,(0.76),89.4,(1.11),92.8,(1.48),30.1,(0.24),36.5,(0.35),27.4,(1.41),14.2,(0.47),59.9,(1.39),33.3,(2.33)
Arkansas ,87.3,(0.29),89.6,(0.30),87.4,(0.94),57.2,(2.32),89.1,(2.16),88.1,(2.55),23.2,(0.41),24.7,(0.48),17.7,(1.07),9.3,(1.37),55.9,(3.26),28.3,(3.98)
California ,84.1,(0.09),95.4,(0.07),90.7,(0.33),66.4,(0.26),88.8,(0.19),93.6,(0.35),35.0,(0.11),45.2,(0.15),27.5,(0.57),14.3,(0.17),54.7,(0.32),43.5,(0.82)
Colorado ,92.5,(0.18),96.9,(0.13),93.1,(0.91),74.9,(0.77),90.2,(1.00),95.8,(1.07),42.8,(0.35),49.2,(0.36),27.0,(1.88),18.5,(0.65),55.2,(1.67),44.7,(2.04)
Connecticut ,90.9,(0.20),94.8,(0.19),86.7,(0.97),74.2,(1.08),91.5,(1.41),89.8,(2.04),40.1,(0.34),45.0,(0.38),23.4,(1.23),18.7,(0.93),65.6,(2.14),43.1,(2.90)
Delaware ,90.4,(0.51),93.2,(0.58),90.2,(1.21),62.4,(3.88),96.0,(1.45),92.3,(4.04),34.0,(0.78),37.1,(1.08),24.8,(1.81),11.9,(1.91),67.5,(2.90),40.9,(8.66)
District of Columbia ,91.8,(0.60),99.4,(0.19),86.3,(1.20),81.8,(2.80),96.1,(1.49),97.0,(1.99),59.8,(0.81),91.5,(0.65),28.7,(1.40),52.6,(3.36),81.4,(3.61),77.8,(4.16)
Florida ,88.4,(0.13),93.2,(0.11),84.7,(0.37),79.5,(0.36),87.4,(0.79),89.8,(0.99),30.7,(0.17),34.6,(0.20),19.4,(0.43),25.5,(0.44),50.9,(0.96),33.4,(1.53)
Georgia ,87.9,(0.16),91.1,(0.19),88.0,(0.28),63.9,(1.13),87.1,(0.73),91.7,(1.57),32.5,(0.24),36.4,(0.30),24.8,(0.45),18.9,(0.79),57.9,(1.47),40.5,(2.07)
Hawaii ,92.3,(0.39),97.1,(0.40),99.3,(0.63),90.7,(1.84),89.1,(0.71),95.8,(0.70),33.0,(0.58),46.5,(1.20),32.5,(5.33),22.2,(2.13),34.6,(0.95),25.5,(1.24)
Idaho ,91.9,(0.32),94.4,(0.30),98.3,(1.80),71.0,(2.03),91.2,(2.83),95.7,(1.71),29.1,(0.65),30.4,(0.68),19.4,(6.62),11.6,(1.55),59.7,(3.97),49.5,(5.20)
Illinois ,89.9,(0.15),94.7,(0.11),86.5,(0.46),71.9,(0.77),90.3,(0.60),90.9,(1.23),36.0,(0.22),40.2,(0.28),23.0,(0.56),16.8,(0.53),66.3,(0.96),41.8,(2.19)
Indiana ,89.6,(0.22),91.3,(0.22),87.3,(0.87),70.8,(1.52),85.2,(1.97),89.2,(1.86),27.1,(0.26),27.7,(0.28),20.2,(1.00),16.8,(1.02),60.3,(2.36),27.5,(2.84)
Iowa ,92.9,(0.25),94.9,(0.20),81.4,(2.61),67.2,(2.82),78.4,(3.40),94.9,(2.65),29.6,(0.45),30.6,(0.46),13.5,(2.05),13.9,(1.82),50.8,(4.43),27.4,(4.78)
